texto,sentimento
"desculpa dizer, mas você tem que ter MUITA ****** para abrir um show com o maior hit de sua carreira CHROMATICA BALL","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
vendeu a alma pro diabo fez terapia comeu ******,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
